Назва набору даних,Основний словник або модель даних,"Додаткові та/або альтернативні основні словники, моделі даних",Коментар
"Перелік розповсюджувачів реклами, що отримали дозвіл на розміщення зовнішньої реклами",,,"Дублювання даних з набором ""Інформація про рекламні засоби""."
"Перелік земельних ділянок, що пропонуються для здійснення забудови",Open Contracting Data Standard (openregistry.assets.bounce),,
"Перелік укладених договорів, укладені договори, інші правочини, додатки, додаткові угоди та інші матеріали до них",Open Contracting Data Standard,,
Актуальні списки власників/орендарів місцевих земельних ділянок,Open Contracting Data Standard (openregistry.assets.bounce),,"Набір оприлюднюється як ""Перелік земельних ділянок комунальної власності, що були приватизовані або передані в оренду або інше право користування""."
"Відомості про лікарські засоби/препарати, придбані за бюджетні кошти, відомості про розподілення таких ліків між закладами охорони здоров’я та їх залишки в кожному з них",Schema.org (health-lifesci),Open Contracting Data Standard,
Інформація про заповнюваність пасажирських і приміських поїздів,,,"Розпорядником даних є ПАТ ""Укрзалізниця""."
"Бази даних щодо ремонту доріг: точне зазначення ділянки відремонтованої дороги (від кілометра до кілометра), ширина та довжина дороги, довжина ділянки, товщина дорожнього покриття, матеріали, види робіт, вартість робіт, гарантійний строк, виконавці робіт","Open Contracting Data Standard, CoST Infrastructure Data Standard",,
"Схеми планування територій громад та плани зонування територій (для сільських, селищних, міських рад)",,,Набір містить просторові дані.
"Інформація про дотримання державних соціальних нормативів у сфері обслуговування закладами (інституціями) культури, підсумки споживання культурних благ і їх доступність для різних категорій населення",,,Необхідно роз'яснення Державного агентства з питань електронного урядування України щодо змісту даних набору.
"Огляд стану забезпечення правової охорони і захисту прав інтелектуальної власності з переліком проведених заходів для підвищення обізнаності та поваги до інтелектуальної власності, розвитку культури суспільства у зазначеній сфері",,,Необхідно роз'яснення Державного агентства з питань електронного урядування України щодо змісту даних набору.
